sample_size;time
100;15.8162796497345
100;15.6314070224762
100;77.9326524734497
100;5.93637990951538
100;7.56203985214233
100;25.8215255737305
100;7.07372736930847
100;39.2113635540009
100;10.2120699882507
100;12.1532070636749
200;27.9649791717529
200;30.5574300289154
200;24.3275556564331
200;109.693958520889
200;87.4863893985748
200;24.1047649383545
200;83.7367074489594
200;59.9985830783844
200;55.7405431270599
200;23.3374991416931
300;80.7099878787994
300;121.788895130157
300;126.264614582062
300;81.9923865795136
300;78.3864827156067
300;119.986568212509
300;82.7810575962067
300;28.9354529380798
300;20.2622208595276
300;94.6452958583832
400;75.9176645278931
400;117.941418886185
400;126.403257131577
400;63.9152626991272
400;85.8836541175842
400;81.3201313018799
400;115.082900524139
400;123.30259346962
400;180.892045021057
400;90.9884567260742
500;129.072405815125
500;126.15501832962
500;144.341976165772
500;114.151082038879
500;73.6499741077423
500;154.21389913559
500;108.013597488403
500;83.1943933963776
500;162.046880483627
500;169.596163272858
complete;255.097894906998
complete;264.234829902649
complete;242.776233673096
complete;251.579058408737
complete;255.163681745529
complete;272.495045185089
complete;286.095143318176
complete;242.390847682953
complete;196.896599769592
complete;249.733266592026
