approach;sample_size;repetition;activity;prob
Random;100;5;O_SENT_BACK;0.0234375
Random;100;5;W_Afhandelen leads;0.0234375
Random;100;5;A_FINALIZED;0.021484375
Random;100;5;A_DECLINED;0.017578125
Random;100;5;W_Beoordelen fraude;0.009765625
Random;100;5;O_DECLINED;0.005859375
Random;100;6;W_Completeren aanvraag;0.30842911877394635
Random;100;6;W_Nabellen offertes;0.17624521072796934
Random;100;6;W_Valideren aanvraag;0.11685823754789272
Random;100;6;O_CANCELLED;0.0421455938697318
Random;100;6;A_CANCELLED;0.032567049808429116
Random;100;6;A_DECLINED;0.03065134099616858
Random;100;6;O_SENT;0.03065134099616858
Random;100;6;O_CREATED;0.03065134099616858
Random;100;6;O_SELECTED;0.03065134099616858
Random;100;6;A_ACTIVATED;0.028735632183908046
Random;100;6;A_REGISTERED;0.028735632183908046
Random;100;6;A_APPROVED;0.028735632183908046
Random;100;6;O_ACCEPTED;0.02681992337164751
Random;100;6;O_SENT_BACK;0.02681992337164751
Random;100;6;O_DECLINED;0.019157088122605363
Random;100;6;W_Afhandelen leads;0.013409961685823755
Random;100;6;A_FINALIZED;0.011494252873563218
Random;100;6;A_ACCEPTED;0.011494252873563218
Random;100;6;W_Nabellen incomplete dossiers;0.005747126436781609
Random;100;7;W_Completeren aanvraag;0.2725563909774436
Random;100;7;W_Nabellen offertes;0.20864661654135339
Random;100;7;W_Valideren aanvraag;0.11654135338345864
Random;100;7;A_CANCELLED;0.043233082706766915
Random;100;7;O_CANCELLED;0.03571428571428571
Random;100;7;A_DECLINED;0.02819548872180451
Random;100;7;A_APPROVED;0.02819548872180451
Random;100;7;A_ACTIVATED;0.02819548872180451
Random;100;7;O_ACCEPTED;0.02819548872180451
Random;100;7;A_REGISTERED;0.02819548872180451
Random;100;7;O_SENT;0.02819548872180451
Random;100;7;O_CREATED;0.02819548872180451
Random;100;7;O_SELECTED;0.02819548872180451
Random;100;7;O_SENT_BACK;0.02631578947368421
Random;100;7;O_DECLINED;0.018796992481203006
Random;100;7;A_FINALIZED;0.016917293233082706
Random;100;7;A_ACCEPTED;0.016917293233082706
Random;100;7;W_Afhandelen leads;0.013157894736842105
Random;100;7;W_Nabellen incomplete dossiers;0.005639097744360902
Random;100;8;W_Completeren aanvraag;0.3295711060948081
Random;100;8;W_Nabellen offertes;0.27313769751693
Random;100;8;W_Valideren aanvraag;0.04966139954853273
Random;100;8;A_CANCELLED;0.04740406320541761
Random;100;8;O_CANCELLED;0.045146726862302484
Random;100;8;A_DECLINED;0.03160270880361174
Random;100;8;O_SENT;0.024830699774266364
Random;100;8;O_CREATED;0.024830699774266364
Random;100;8;O_SELECTED;0.024830699774266364
Random;100;8;W_Afhandelen leads;0.020316027088036117
Random;100;8;A_REGISTERED;0.020316027088036117
Random;100;8;O_ACCEPTED;0.020316027088036117
Random;100;8;A_ACTIVATED;0.020316027088036117
Random;100;8;A_APPROVED;0.020316027088036117
Random;100;8;O_DECLINED;0.01805869074492099
Random;100;8;O_SENT_BACK;0.011286681715575621
Random;100;8;A_FINALIZED;0.009029345372460496
Random;100;8;A_ACCEPTED;0.009029345372460496
Random;100;9;W_Completeren aanvraag;0.29245283018867924
Random;100;9;W_Nabellen offertes;0.24716981132075472
Random;100;9;W_Valideren aanvraag;0.11509433962264151
Random;100;9;A_REGISTERED;0.04150943396226415
Random;100;9;A_ACTIVATED;0.04150943396226415
Random;100;9;A_APPROVED;0.04150943396226415
Random;100;9;O_ACCEPTED;0.04150943396226415
Random;100;9;A_CANCELLED;0.024528301886792454
Random;100;9;O_SENT_BACK;0.018867924528301886
Random;100;9;O_SENT;0.016981132075471698
Random;100;9;O_CREATED;0.016981132075471698
Random;100;9;O_SELECTED;0.016981132075471698
Random;100;9;A_DECLINED;0.016981132075471698
Random;100;9;O_CANCELLED;0.01509433962264151
Random;100;9;W_Afhandelen leads;0.01509433962264151
Random;100;9;A_ACCEPTED;0.011320754716981131
Random;100;9;A_FINALIZED;0.009433962264150943
Random;100;9;W_Nabellen incomplete dossiers;0.009433962264150943
Random;100;9;O_DECLINED;0.007547169811320755
Random;200;0;W_Nabellen offertes;0.3083956774729842
Random;200;0;W_Completeren aanvraag;0.2826267664172901
Random;200;0;W_Valideren aanvraag;0.07231920199501247
Random;200;0;A_CANCELLED;0.03657522859517872
Random;200;0;O_CANCELLED;0.03158769742310889
Random;200;0;A_REGISTERED;0.029093931837073983
Random;200;0;A_ACTIVATED;0.029093931837073983
Random;200;0;A_APPROVED;0.029093931837073983
Random;200;0;O_ACCEPTED;0.029093931837073983
Random;200;0;A_DECLINED;0.021612635078969242
Random;200;0;O_SENT;0.020781379883624274
Random;200;0;O_CREATED;0.020781379883624274
Random;200;0;O_SELECTED;0.020781379883624274
Random;200;0;O_SENT_BACK;0.01662510390689942
Random;200;0;A_ACCEPTED;0.014131338320864505
Random;200;0;A_FINALIZED;0.012468827930174564
Random;200;0;O_DECLINED;0.00831255195344971
Random;200;0;W_Afhandelen leads;0.007481296758104738
Random;200;0;W_Nabellen incomplete dossiers;0.004987531172069825
Random;200;0;W_Beoordelen fraude;0.004156275976724855
Random;200;1;W_Nabellen offertes;0.30067001675041877
Random;200;1;W_Completeren aanvraag;0.25879396984924624
Random;200;1;W_Valideren aanvraag;0.0812395309882747
Random;200;1;O_CANCELLED;0.031825795644891124
Random;200;1;A_CANCELLED;0.03015075376884422
Random;200;1;A_ACTIVATED;0.02847571189279732
Random;200;1;A_REGISTERED;0.02847571189279732
Random;200;1;A_APPROVED;0.02847571189279732
Random;200;1;O_SENT;0.02847571189279732
Random;200;1;O_CREATED;0.02847571189279732
Random;200;1;O_SELECTED;0.02847571189279732
Random;200;1;O_ACCEPTED;0.02763819095477387
Random;200;1;W_Nabellen incomplete dossiers;0.017587939698492462
Random;200;1;O_SENT_BACK;0.01675041876046901
Random;200;1;A_DECLINED;0.01675041876046901
Random;200;1;A_ACCEPTED;0.01423785594639866
Random;200;1;A_FINALIZED;0.011725293132328308
Random;200;1;O_DECLINED;0.010050251256281407
Random;200;1;W_Afhandelen leads;0.009212730318257957
Random;200;1;W_Beoordelen fraude;0.002512562814070352
Random;200;2;W_Completeren aanvraag;0.3341708542713568
Random;200;2;W_Nabellen offertes;0.19597989949748743
Random;200;2;W_Valideren aanvraag;0.07872696817420435
Random;200;2;O_CANCELLED;0.04690117252931323
Random;200;2;A_CANCELLED;0.03768844221105527
Random;200;2;O_SENT;0.03098827470686767
Random;200;2;O_CREATED;0.03098827470686767
Random;200;2;O_SELECTED;0.03098827470686767
Random;200;2;A_ACTIVATED;0.024288107202680067
Random;200;2;A_APPROVED;0.024288107202680067
Random;200;2;A_REGISTERED;0.024288107202680067
Random;200;2;O_ACCEPTED;0.024288107202680067
Random;200;2;A_DECLINED;0.024288107202680067
Random;200;2;O_SENT_BACK;0.022613065326633167
Random;200;2;W_Afhandelen leads;0.018425460636515914
Random;200;2;W_Nabellen incomplete dossiers;0.01423785594639866
Random;200;2;O_DECLINED;0.010050251256281407
Random;200;2;W_Beoordelen fraude;0.009212730318257957
Random;200;2;A_ACCEPTED;0.009212730318257957
Random;200;2;A_FINALIZED;0.008375209380234505
Random;200;3;W_Completeren aanvraag;0.26593233674272226
Random;200;3;W_Nabellen offertes;0.23210070810385522
Random;200;3;W_Valideren aanvraag;0.08575924468922108
Random;200;3;A_CANCELLED;0.03855232100708104
Random;200;3;O_CANCELLED;0.03776553894571204
Random;200;3;O_SENT;0.03304484657749803
Random;200;3;O_CREATED;0.03304484657749803
Random;200;3;O_SELECTED;0.03304484657749803
Random;200;3;A_REGISTERED;0.02989771833202203
Random;200;3;A_ACTIVATED;0.02989771833202203
Random;200;3;A_APPROVED;0.02989771833202203
Random;200;3;O_ACCEPTED;0.02989771833202203
Random;200;3;A_DECLINED;0.021243115656963022
Random;200;3;A_ACCEPTED;0.020456333595594022
Random;200;3;A_FINALIZED;0.01966955153422502
Random;200;3;O_SENT_BACK;0.01888276947285602
Random;200;3;W_Nabellen incomplete dossiers;0.015735641227380016
Random;200;3;W_Afhandelen leads;0.013375295043273014
Random;200;3;O_DECLINED;0.010228166797797011
Random;200;3;W_Beoordelen fraude;0.0015735641227380016
Random;200;4;W_Completeren aanvraag;0.29933481152993346
Random;200;4;W_Nabellen offertes;0.2139689578713969
Random;200;4;W_Valideren aanvraag;0.0787139689578714
Random;200;4;A_CANCELLED;0.05321507760532151
Random;200;4;O_CANCELLED;0.038802660753880266
Random;200;4;A_REGISTERED;0.02993348115299335
Random;200;4;A_ACTIVATED;0.02993348115299335
Random;200;4;A_APPROVED;0.02993348115299335
Random;200;4;O_ACCEPTED;0.02993348115299335
Random;200;4;A_DECLINED;0.02993348115299335
Random;200;4;O_SENT;0.026607538802660754
Random;200;4;O_CREATED;0.026607538802660754
Random;200;4;O_SELECTED;0.026607538802660754
Random;200;4;W_Afhandelen leads;0.017738359201773836
Random;200;4;O_SENT_BACK;0.017738359201773836
Random;200;4;A_FINALIZED;0.01662971175166297
Random;200;4;A_ACCEPTED;0.01662971175166297
Random;200;4;O_DECLINED;0.008869179600886918
Random;200;4;W_Nabellen incomplete dossiers;0.005543237250554324
Random;200;4;W_Beoordelen fraude;0.0033259423503325942
Random;200;5;W_Completeren aanvraag;0.32411820781696854
Random;200;5;W_Nabellen offertes;0.24880838894184937
Random;200;5;W_Valideren aanvraag;0.07435653002859867
Random;200;5;A_CANCELLED;0.03908484270734033
Random;200;5;O_CANCELLED;0.03527168732125834
Random;200;5;A_REGISTERED;0.029551954242135366
Random;200;5;A_ACTIVATED;0.029551954242135366
Random;200;5;A_APPROVED;0.029551954242135366
Random;200;5;O_ACCEPTED;0.029551954242135366
Random;200;5;W_Nabellen incomplete dossiers;0.020972354623450904
Random;200;5;O_SENT;0.02001906577693041
Random;200;5;O_CREATED;0.02001906577693041
Random;200;5;O_SELECTED;0.02001906577693041
Random;200;5;O_SENT_BACK;0.01811248808388942
Random;200;5;A_DECLINED;0.014299332697807437
Random;200;5;A_ACCEPTED;0.01334604385128694
Random;200;5;A_FINALIZED;0.011439466158245948
Random;200;5;W_Afhandelen leads;0.009532888465204958
Random;200;5;O_DECLINED;0.008579599618684462
Random;200;5;W_Beoordelen fraude;0.0038131553860819827
Random;200;6;W_Completeren aanvraag;0.3075313807531381
Random;200;6;W_Nabellen offertes;0.25
Random;200;6;W_Valideren aanvraag;0.06380753138075314
Random;200;6;A_CANCELLED;0.04811715481171548
Random;200;6;O_CANCELLED;0.04184100418410042
Random;200;6;A_DECLINED;0.029288702928870293
Random;200;6;O_SENT;0.02510460251046025
Random;200;6;O_CREATED;0.02510460251046025
Random;200;6;O_SELECTED;0.02510460251046025
Random;200;6;A_ACTIVATED;0.02405857740585774
Random;200;6;O_ACCEPTED;0.02405857740585774
Random;200;6;A_REGISTERED;0.02405857740585774
Random;200;6;A_APPROVED;0.02405857740585774
Random;200;6;W_Afhandelen leads;0.021966527196652718
Random;200;6;O_SENT_BACK;0.0198744769874477
Random;200;6;A_ACCEPTED;0.013598326359832637
Random;200;6;A_FINALIZED;0.012552301255230125
Random;200;6;O_DECLINED;0.009414225941422594
Random;200;6;W_Nabellen incomplete dossiers;0.007322175732217573
Random;200;6;W_Beoordelen fraude;0.0031380753138075313
Random;200;7;W_Completeren aanvraag;0.28237259816207183
Random;200;7;W_Nabellen offertes;0.28153717627401836
Random;200;7;W_Valideren aanvraag;0.07936507936507936
Random;200;7;A_CANCELLED;0.034252297410192145
Random;200;7;O_CANCELLED;0.03007518796992481
Random;200;7;A_ACTIVATED;0.028404344193817876
Random;200;7;A_REGISTERED;0.028404344193817876
Random;200;7;A_APPROVED;0.028404344193817876
Random;200;7;O_ACCEPTED;0.028404344193817876
Random;200;7;W_Nabellen incomplete dossiers;0.025898078529657476
Random;200;7;O_SENT;0.022556390977443608
Random;200;7;O_CREATED;0.022556390977443608
Random;200;7;O_SELECTED;0.022556390977443608
Random;200;7;O_SENT_BACK;0.020885547201336674
Random;200;7;A_DECLINED;0.01670843776106934
Random;200;7;A_FINALIZED;0.012531328320802004
Random;200;7;A_ACCEPTED;0.012531328320802004
Random;200;7;O_DECLINED;0.010025062656641603
Random;200;7;W_Afhandelen leads;0.010025062656641603
Random;200;7;W_Beoordelen fraude;0.002506265664160401
Random;200;8;W_Completeren aanvraag;0.2857142857142857
