sample_size;time
100;1.056751012802124
100;0.9684450626373291
100;1.0442919731140137
100;1.1058297157287598
100;1.244241714477539
100;0.828967809677124
100;1.052915096282959
100;1.8796491622924805
100;1.214411973953247
100;0.9633100032806396
200;2.0563948154449463
200;3.4248719215393066
200;2.713024854660034
200;4.527277708053589
200;3.3110389709472656
200;2.1100049018859863
200;3.476456880569458
200;2.3510091304779053
200;3.028426170349121
200;2.826050281524658
300;4.41412615776062
300;4.8622050285339355
300;4.604068994522095
300;4.580350875854492
300;3.479396104812622
300;3.1622347831726074
300;4.226707935333252
300;5.730000972747803
300;4.019211053848267
300;5.48317289352417
400;6.545417070388794
400;6.384281873703003
400;7.117526054382324
400;5.283074140548706
400;6.378022193908691
400;6.125574111938477
400;5.64702296257019
400;6.310502290725708
400;4.6804399490356445
400;5.647108793258667
500;6.44084906578064
500;4.58116602897644
500;6.781037092208862
500;7.6734840869903564
500;5.518470048904419
500;5.8416807651519775
500;7.007581949234009
500;6.640171051025391
500;7.606398105621338
500;7.613377094268799
complete;13.782013177871704
complete;13.920010089874268
complete;14.356474161148071
complete;13.995428085327148
complete;14.629650831222534
complete;14.67197322845459
complete;14.301578044891357
complete;13.896987199783325
complete;14.008514165878296
complete;14.054975032806396
