approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;trace:penalty_amount0@1000.0;True;0.09851341054817478
Feature;100;0;trace:area@13.0;True;0.09851341054817478
Feature;100;0;trace:area@45.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@27000.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@39000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@39000.0;True;0.09851341054817478
Feature;100;0;trace:area@11.0;True;0.09851341054817478
Feature;100;0;trace:area@16.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@25000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@33000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@3000.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@17000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@9000.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@52000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@52000.0;True;0.09851341054817478
Feature;100;0;trace:penalty_CC@True;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@11000.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@8000.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@40000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@40000.0;True;0.09851341054817478
Feature;100;0;trace:area@6.0;True;0.09851341054817478
Feature;100;0;trace:area@8.0;True;0.09851341054817478
Feature;100;0;trace:payment_actual0@6000.0;True;0.09851341054817478
Feature;100;0;trace:amount_applied0@6000.0;True;0.09851341054817478
Feature;100;0;trace:penalty_AUVP@False;True;0.09771839251441371
Feature;100;0;trace:penalty_AGP@False;True;0.09771839251441371
Feature;100;0;trace:penalty_ABP@False;True;0.09771839251441371
Feature;100;0;event:org:resource@0;n/a;True;0.09079798901495728
Feature;100;0;trace:selected_risk@False;True;0.08265581531669758
Feature;100;0;trace:selected_random@False;True;0.08265581531669758
Feature;100;0;trace:penalty_GP1@False;True;0.08265581531669758
Feature;100;0;trace:penalty_B3@False;True;0.08265581531669758
Feature;100;0;trace:area@146.0;True;0.07018274852098412
Feature;100;0;trace:area@211.0;True;0.07018274852098412
Feature;100;0;trace:area@151.0;True;0.07018274852098412
Feature;100;0;trace:area@132.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@9200.0;True;0.07018274852098412
Feature;100;0;trace:area@69.0;True;0.07018274852098412
Feature;100;0;trace:area@54.0;True;0.07018274852098412
Feature;100;0;trace:area@125.0;True;0.07018274852098412
Feature;100;0;trace:area@46.0;True;0.07018274852098412
Feature;100;0;trace:area@30.0;True;0.07018274852098412
Feature;100;0;trace:area@39.0;True;0.07018274852098412
Feature;100;0;trace:area@83.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@71000.0;True;0.07018274852098412
Feature;100;0;trace:area@183.0;True;0.07018274852098412
Feature;100;0;trace:penalty_BGK@True;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@53000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_AJLP@True;True;0.07018274852098412
Feature;100;0;event:org:resource@2044b6;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@2500.0;True;0.07018274852098412
Feature;100;0;trace:number_parcels@65.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@62000.0;True;0.07018274852098412
Feature;100;0;trace:cross_compliance@9.0;True;0.07018274852098412
Feature;100;0;trace:area@37.0;True;0.07018274852098412
Feature;100;0;trace:area@101.0;True;0.07018274852098412
Feature;100;0;trace:area@23.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@32000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@300.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@31000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@31000.0;True;0.07018274852098412
Feature;100;0;trace:cross_compliance@15.0;True;0.07018274852098412
Feature;100;0;trace:area@147.0;True;0.07018274852098412
Feature;100;0;trace:area@48.0;True;0.07018274852098412
Feature;100;0;trace:area@90.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@26000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@26000.0;True;0.07018274852098412
Feature;100;0;trace:number_parcels@95.0;True;0.07018274852098412
Feature;100;0;trace:area@109.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@32000.0;True;0.07018274852098412
Feature;100;0;trace:area@7.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@400.0;True;0.07018274852098412
Feature;100;0;trace:area@84.0;True;0.07018274852098412
Feature;100;0;trace:area@85.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@33000.0;True;0.07018274852098412
Feature;100;0;event:concept:name@refuse;True;0.07018274852098412
Feature;100;0;trace:rejected@True;True;0.07018274852098412
Feature;100;0;trace:area@28.0;True;0.07018274852098412
Feature;100;0;event:org:resource@abe845;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@9000.0;True;0.07018274852098412
Feature;100;0;trace:area@5.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@21000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@21000.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@36000.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@7000.0;True;0.07018274852098412
Feature;100;0;trace:area@18.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@7000.0;True;0.07018274852098412
Feature;100;0;trace:penalty_amount0@200.0;True;0.07018274852098412
Feature;100;0;trace:area@50.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@16000.0;True;0.07018274852098412
Feature;100;0;event:concept:name@approve;True;0.07018274852098412
Feature;100;0;trace:area@26.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@5000.0;True;0.07018274852098412
Feature;100;0;event:org:resource@354865;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@36000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@8000.0;True;0.07018274852098412
Feature;100;0;trace:area@4.0;True;0.07018274852098412
Feature;100;0;trace:payment_actual0@5000.0;True;0.07018274852098412
Feature;100;0;trace:amount_applied0@4000.0;True;0.06858514697280048
Feature;100;0;event:concept:name@finish editing;True;0.0658967902414903
Feature;100;0;event:org:resource@DP-Z;True;0.05693110112414094
Feature;100;0;event:concept:name@calculate;True;0.05680579859882288
Feature;100;0;event:concept:name@begin editing;True;0.05590258992258924
