Approach,Sample Size,Avg. Indexing Time,Avg. Sampling Time
Feature,100,62.8064177942276,7.993615221977234
Feature,200,62.8064177942276,29.08943452835083
Feature,300,62.8064177942276,60.902388620376584
Feature,400,62.8064177942276,114.16929323673249
Feature,500,62.8064177942276,165.78918254375458
Longest,100,0.0,1.0556359529495238
Longest,200,0.0,1.2073752403259277
Longest,300,0.0,1.5363611698150634
Longest,400,0.0,1.486562156677246
Longest,500,0.0,1.0306324243545533
Random,100,0.0,0.00018515586853024265
Random,200,0.0,0.00014007091522211002
Random,300,0.0,0.00021343231201167
Random,400,0.0,0.00045394897460933
Random,500,0.0,0.0004952907562255501
Sequence,100,4.570280427932739,0.46342151165008544
Sequence,200,4.570280427932739,1.0022637605667115
Sequence,300,4.570280427932739,1.5186487197875977
Sequence,400,4.570280427932739,2.0047771453857424
Sequence,500,4.570280427932739,2.4571906089782716
