approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;49;35;35;1;0.9838486386709737;0.0;0.0001201629638671875;18.735992908477783
Random;100;1;52;29;29;1;0.987105380168964;0.0;6.794929504394531e-05;23.462850093841553
Random;100;2;59;26;26;1;0.9886313948404023;0.0;6.4849853515625e-05;21.2352192401886
Random;100;3;57;21;21;1;0.9914495114006515;0.0;6.413459777832031e-05;24.34112811088562
Random;100;4;52;33;33;2;0.9846725499303298;0.0;5.817413330078125e-05;10.558427095413208
Random;100;5;60;21;21;1;0.9909560723514211;0.0;6.198883056640625e-05;15.67455267906189
Random;100;6;46;20;20;1;0.9905793688177108;0.0;6.794929504394531e-05;15.551267147064209
Random;100;7;55;27;27;2;0.9880899867666519;0.0;7.510185241699219e-05;14.077135801315308
Random;100;8;48;31;37;2;0.9808785529715762;0.0;6.29425048828125e-05;36.43568205833435
Random;100;9;54;31;37;3;0.9835336003560302;0.0;7.081031799316406e-05;15.589302062988281
Random;200;0;100;58;58;1;0.9869838420107719;0.0;0.00011801719665527344;32.83566904067993
Random;200;1;107;68;68;2;0.9844677935130196;0.0;0.00011014938354492188;24.404387712478638
Random;200;2;99;59;61;3;0.9861615245009074;0.0;0.00010895729064941406;35.33836269378662
Random;200;3;103;59;65;3;0.9861849096705633;0.0;0.00011897087097167969;37.74647665023804
Random;200;4;94;56;56;1;0.9862576687116564;0.0;0.00010704994201660156;24.92515993118286
Random;200;5;96;53;53;1;0.9873749404478323;0.0;0.000102996826171875;20.107524871826172
Random;200;6;111;54;54;2;0.9894962069636257;0.0;0.00010395050048828125;32.871572971343994
Random;200;7;110;44;44;1;0.9907524169819252;0.0;0.00010085105895996094;25.87977170944214
Random;200;8;108;54;56;3;0.988880063542494;0.0;0.00010585784912109375;63.69034004211426
Random;200;9;98;52;52;2;0.987668958975575;0.0;0.00010585784912109375;20.720456838607788
Random;300;0;158;82;84;3;0.9877282688093499;0.0;0.00014901161193847656;35.1265287399292
Random;300;1;163;81;85;3;0.9879227053140096;0.0;0.000141143798828125;44.32513999938965
Random;300;2;151;81;81;2;0.9884516680923866;0.0;0.00018787384033203125;42.4967257976532
Random;300;3;168;76;78;3;0.9892443463872035;0.0;0.00014901161193847656;50.832478046417236
Random;300;4;146;85;89;3;0.9869329026574659;0.0;0.00015282630920410156;42.615943908691406
Random;300;5;167;68;84;4;0.9882055602358888;0.0;0.0001430511474609375;45.1527578830719
Random;300;6;144;79;81;3;0.9877161055505005;0.0;0.0001399517059326172;45.8325879573822
Random;300;7;146;89;95;2;0.9852690339587533;0.0;0.00015473365783691406;47.63218593597412
Random;300;8;161;75;77;3;0.9890453834115805;0.0;0.00014519691467285156;33.38345193862915
Random;300;9;167;73;94;4;0.9875381148084317;0.0;0.00014019012451171875;51.95553207397461
Random;400;0;192;109;117;3;0.9870403190075321;0.0;0.00018215179443359375;41.885095834732056
Random;400;1;198;96;96;1;0.9896137617656605;0.0;0.0001819133758544922;34.27453804016113
Random;400;2;224;79;79;2;0.9919650122050447;0.0;0.00017786026000976562;38.170361042022705
Random;400;3;191;103;105;3;0.9877636639086353;0.0;0.0001819133758544922;40.26962113380432
Random;400;4;202;98;102;2;0.9891650732950924;0.0;0.00018310546875;33.16177177429199
Random;400;5;214;102;131;4;0.9868156199677939;0.0;0.0001800060272216797;56.78267788887024
Random;400;6;205;105;114;3;0.9880402853545951;0.0;0.00018787384033203125;40.424108028411865
Random;400;7;204;82;82;1;0.990944229707344;0.0;0.0001919269561767578;28.855113983154297
Random;400;8;198;102;102;1;0.9891466269419026;0.0;0.00018095970153808594;40.704994916915894
Random;400;9;191;114;116;2;0.9870448961358053;0.0;0.0001819133758544922;45.0286979675293
Random;500;0;243;134;148;4;0.9877877712682565;0.0;0.00021886825561523438;85.14137506484985
Random;500;1;256;123;137;3;0.9886382484657489;0.0;0.00021791458129882812;85.62306094169617
Random;500;2;240;125;155;4;0.9869495663888187;0.0;0.00021600723266601562;61.59588694572449
Random;500;3;242;133;146;4;0.9870314443062711;0.0;0.00023221969604492188;31.475566148757935
Random;500;4;252;132;151;3;0.9873830213903744;0.0;0.00021195411682128906;53.5316162109375
Random;500;5;237;132;136;3;0.9878582269440228;0.0;0.00021696090698242188;50.533031940460205
Random;500;6;266;114;123;3;0.9900299910837319;0.0;0.0002269744873046875;37.47752118110657
