sample_size;time
100;23.540596961975098
100;13.406921863555908
100;13.778717041015625
100;12.65214729309082
100;14.688064098358154
100;20.305676221847534
100;13.12525200843811
100;16.12477993965149
100;46.4109468460083
100;9.979099988937378
200;35.17768383026123
200;91.63575315475464
200;49.687604904174805
200;33.60392689704895
200;48.04146099090576
200;33.30015993118286
200;37.40339994430542
200;30.501368045806885
200;70.40760707855225
200;38.744158029556274
300;66.5321991443634
300;57.0554838180542
300;74.70049524307251
300;51.26725888252258
300;63.46179509162903
300;128.72728300094604
300;44.84409308433533
300;64.26706099510193
300;87.39218211174011
300;93.83338713645935
400;79.85922002792358
400;93.75091195106506
400;83.12588500976562
400;62.32504892349243
400;121.12843608856201
400;64.75428414344788
400;101.38095903396606
400;64.35800290107727
400;76.35704708099365
400;56.05651879310608
500;100.1096510887146
500;146.73256993293762
500;105.79359269142151
500;113.36290192604065
500;96.76436805725098
500;102.15946912765503
500;94.79813289642334
500;128.17965412139893
500;88.6426260471344
500;124.97746205329895
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
complete;>2700
